Albania,0.821371615,0,0.833046615,0.73315227,0.759433806,0.784501791,0.759476721,0.625586927,0.639356136,0.638411462,4644,1485
Austria,0.936350405,0.934592783,0,0.914193332,0.944156826,0.945142388,0.949809194,0.898920476,0.928110301,0.926318586,7006,1110
Belgium,0.921602786,0.92297703,0,0.930570185,0.936955452,0.92711705,0.909186184,0.943549156,0.885208845,0.928964078,6981,847
Bosnia,0.76560384,0,0.735232174,0.772753716,0.725242853,0.778859854,0.766827762,0.787651718,0.655723631,0.807705104,5182,1028
Bulgaria,0.831507623,0,0,0.84327203,0.860272288,0.837966621,0.829132318,0.885949194,0.907517016,0.92603606,4714,608
Croatia,0.909822166,0,0.860663235,0.796391606,0.789738715,0.775817871,0.751262069,0.645697773,0.768363416,0,5293,1113
Cyprus,0,0,0.811736107,0.822123706,0.843654513,0.767177105,0.744032085,0.770175993,0.769556105,0.786438465,5621,498
Czech,0.899779022,0,0,0.934161127,0.91351074,0.91242677,0.888043344,0.877915204,0.911362588,0.930592895,6609,677
Denmark,0.954201102,0.953911722,0.93889159,0.974977076,0.961736143,0.951437175,0.964707971,0.956344306,0.9597013,0.954451501,7522,703
Finland,0,0.9513399,0,0.935481369,0.937856853,0.927739382,0.940869093,0.952016532,0.947800577,0.953940451,7469,536
France,0,0.935350597,0.918158531,0.942954779,0.92128557,0.93709743,0.907690823,0.877504528,0.895719409,0.884922922,6442,867
Germany,0.925937593,0.923211336,0.934782326,0.939308643,0.947236657,0.926406622,0.931420565,0.937558949,0.925923228,0.906029284,6591,700
Greece,0.808002651,0,0.793317616,0.868422449,0.85155499,0.81214112,0.686650038,0.832333207,0.834824681,0.802605867,5227,652
Hungary,0.93065387,0,0.900874496,0.895693719,0.893662214,0.906113982,0.877318323,0.844735265,0.858733833,0.899511576,5324,589
Iceland,0,0.977429569,0,0,0,0.978965282,0.967144907,0,0.980283201,0.984940052,7504,1940
Ireland,0,0.982521713,0.958702445,0.972885907,0.977377594,0.961785913,0.955188334,0.967744648,0.95294255,0.958144009,6977,1118
Italy,0.912292421,0.87966311,0.880312502,0.872384131,0.913309336,0.86948663,0.916296065,0.89789933,0.908986509,0.927212834,5964,832
Luxembourg,0,0,0.938559353,0.952371716,0.934090614,0.913907707,0.916683257,0.875469446,0.933604598,0.941260576,6863,934
Macedonia,0.810537934,0,0.734430969,0.68685478,0.784300089,0.798305035,0.832253754,0.792998135,0.766368151,0.871212244,5175,619
Netherlands,0.943854094,0.944202244,0,0.956536889,0.938396096,0.938884676,0.924705446,0.908995748,0.879010439,0.925944209,7377,778
Norway,0,0.935878932,0,0,0,0.947657406,0,0.941161931,0.946833968,0.959742844,7537,1414
Poland,0.912639678,0,0.916798174,0.95506531,0.904578626,0.935923874,0.911934912,0.923642278,0.893090427,0.91739881,5973,600
Portugal,0,0.885925412,,0.863906741,0.855960667,0.86603862,0.867180824,0.86182946,0.866213858,0.90463537,5195,854
Romania,0.736480415,0,0.812449574,0.689065635,0.752606809,0.740043104,0.777552068,0.75294137,0.786967337,0.809229195,5825,637
Slovakia,0,0,0,0.919640005,0.917293429,0.925751448,0.909378529,0.924242675,0.94345367,0.945179105,6098,824
Slovenia,0,0,0.918696642,0.917203367,0.931166053,0.924753785,0.932119727,0.908347547,0.901163757,0.934487343,5758,1162
Spain,0.956858516,0.9482705,0.92945385,0.949940383,0.944443703,0.937023342,0.928640485,0.947864413,0.95647186,0.941736817,6403,636
Sweden,0.916559398,0.923092127,0.902532995,0.97024262,0.920521259,0.929397464,0.915648043,0.932719827,0.929459989,0.912060678,7284,624
Switzerland,0,0,0.938339293,0,0,0.94686389,0,0.958796322,0.93833375,0.927628279,7494,1537
United Kingdom,0.969869673,0.953838587,0.964428782,0.955068171,0.94871068,0.934574962,0.936884105,0.910247326,0.935985744,0.954068184,6714,1220
